team,name,confed,stage1_matches,prior_matches,evidence_window_start,evidence_window_end,evidence_window_years
Bermuda,Bermuda,CONCACAF,27.0,27.0,2021-05-27,2025-05-26,4
Bonaire,Bonaire,CONCACAF,18.0,18.0,2021-05-27,2025-05-26,4
British Virgin Islands,British Virgin Islands,CONCACAF,18.0,18.0,2021-05-27,2025-05-26,4
Canada,Canada,CONCACAF,59.0,59.0,2021-05-27,2025-05-26,4
Cayman Islands,Cayman Islands,CONCACAF,18.0,18.0,2021-05-27,2025-05-26,4
Costa Rica,Costa Rica,CONCACAF,62.0,62.0,2021-05-27,2025-05-26,4
Cuba,Cuba,CONCACAF,37.0,37.0,2021-05-27,2025-05-26,4
Curaçao,Curacao,CONCACAF,30.0,30.0,2021-05-27,2025-05-26,4
Dominica,Dominica,CONCACAF,22.0,22.0,2021-05-27,2025-05-26,4
Dominican Republic,Dominican Republic,CONCACAF,29.0,29.0,2021-05-27,2025-05-26,4
El Salvador,El Salvador,CONCACAF,62.0,62.0,2021-05-27,2025-05-26,4
Grenada,Grenada,CONCACAF,33.0,33.0,2021-05-27,2025-05-26,4
Guadeloupe,Guadeloupe,CONCACAF,31.0,31.0,2021-05-27,2025-05-26,4
Guatemala,Guatemala,CONCACAF,55.0,55.0,2021-05-27,2025-05-26,4
Guyana,Guyana,CONCACAF,34.0,34.0,2021-05-27,2025-05-26,4
Haiti,Haiti,CONCACAF,35.0,35.0,2021-05-27,2025-05-26,4
Honduras,Honduras,CONCACAF,57.0,57.0,2021-05-27,2025-05-26,4
Jamaica,Jamaica,CONCACAF,61.0,61.0,2021-05-27,2025-05-26,4
Martinique,Martinique,CONCACAF,23.0,23.0,2021-05-27,2025-05-26,4
Mexico,Mexico,CONCACAF,77.0,77.0,2021-05-27,2025-05-26,4
Montserrat,Montserrat,CONCACAF,22.0,22.0,2021-05-27,2025-05-26,4
Nicaragua,Nicaragua,CONCACAF,39.0,39.0,2021-05-27,2025-05-26,4
Panama,Panama,CONCACAF,67.0,67.0,2021-05-27,2025-05-26,4
Puerto Rico,Puerto Rico,CONCACAF,26.0,26.0,2021-05-27,2025-05-26,4
Saint Kitts and Nevis,St. Kitts and Nevis,CONCACAF,33.0,33.0,2021-05-27,2025-05-26,4
Saint Lucia,St. Lucia,CONCACAF,24.0,24.0,2021-05-27,2025-05-26,4
Saint Martin,St. Martin,CONCACAF,14.0,14.0,2021-05-27,2025-05-26,4
Saint Vincent and the Grenadines,St. Vincent and the Grenadines,CONCACAF,33.0,33.0,2021-05-27,2025-05-26,4
Sint Maarten,Sint Maarten,CONCACAF,19.0,19.0,2021-05-27,2025-05-26,4
Suriname,Suriname,CONCACAF,29.0,29.0,2021-05-27,2025-05-26,4
Trinidad and Tobago,Trinidad and Tobago,CONCACAF,47.0,47.0,2021-05-27,2025-05-26,4
Turks and Caicos Islands,Turks and Caicos Islands,CONCACAF,19.0,19.0,2021-05-27,2025-05-26,4
United States,USA,CONCACAF,71.0,71.0,2021-05-27,2025-05-26,4
United States Virgin Islands,US Virgin Islands,CONCACAF,18.0,18.0,2021-05-27,2025-05-26,4
Argentina,Argentina,CONMEBOL,60.0,60.0,2021-05-27,2025-05-26,4
Bolivia,Bolivia,CONMEBOL,49.0,49.0,2021-05-27,2025-05-26,4
Brazil,Brazil,CONMEBOL,54.0,54.0,2021-05-27,2025-05-26,4
Chile,Chile,CONMEBOL,53.0,53.0,2021-05-27,2025-05-26,4
Colombia,Colombia,CONMEBOL,56.0,56.0,2021-05-27,2025-05-26,4
Ecuador,Ecuador,CONMEBOL,57.0,57.0,2021-05-27,2025-05-26,4
Paraguay,Paraguay,CONMEBOL,48.0,48.0,2021-05-27,2025-05-26,4
Peru,Peru,CONMEBOL,54.0,54.0,2021-05-27,2025-05-26,4
Uruguay,Uruguay,CONMEBOL,56.0,56.0,2021-05-27,2025-05-26,4
Venezuela,Venezuela,CONMEBOL,49.0,49.0,2021-05-27,2025-05-26,4
Fiji,Fiji,OFC,29.0,29.0,2021-05-27,2025-05-26,4
New Caledonia,New Caledonia,OFC,18.0,18.0,2021-05-27,2025-05-26,4
New Zealand,New Zealand,OFC,35.0,35.0,2021-05-27,2025-05-26,4
Papua New Guinea,Papua New Guinea,OFC,25.0,25.0,2021-05-27,2025-05-26,4
