team,name,confed,stage1_matches,stage2_matches,stage3_matches,prior_matches,evidence_window_start,evidence_window_end,evidence_window_years
Faroe Islands,Faroe Islands,UEFA,26.0,8.0,3.0,37.0,2022-07-16,2026-07-15,4
Finland,Finland,UEFA,28.0,8.0,4.0,40.0,2022-07-16,2026-07-15,4
France,France,UEFA,37.0,8.0,11.0,56.0,2022-07-16,2026-07-15,4
Georgia,Georgia,UEFA,28.0,8.0,4.0,40.0,2022-07-16,2026-07-15,4
Germany,Germany,UEFA,34.0,8.0,8.0,50.0,2022-07-16,2026-07-15,4
Gibraltar,Gibraltar,UEFA,26.0,8.0,2.0,36.0,2022-07-16,2026-07-15,4
Greece,Greece,UEFA,26.0,8.0,4.0,38.0,2022-07-16,2026-07-15,4
Hungary,Hungary,UEFA,29.0,8.0,4.0,41.0,2022-07-16,2026-07-15,4
Iceland,Iceland,UEFA,32.0,8.0,5.0,45.0,2022-07-16,2026-07-15,4
Israel,Israel,UEFA,25.0,8.0,2.0,35.0,2022-07-16,2026-07-15,4
Italy,Italy,UEFA,30.0,8.0,4.0,42.0,2022-07-16,2026-07-15,4
Kazakhstan,Kazakhstan,UEFA,27.0,8.0,4.0,39.0,2022-07-16,2026-07-15,4
Kosovo,Kosovo,UEFA,25.0,8.0,4.0,37.0,2022-07-16,2026-07-15,4
Latvia,Latvia,UEFA,26.0,8.0,2.0,36.0,2022-07-16,2026-07-15,4
Liechtenstein,Liechtenstein,UEFA,25.0,8.0,4.0,37.0,2022-07-16,2026-07-15,4
Lithuania,Lithuania,UEFA,26.0,8.0,4.0,38.0,2022-07-16,2026-07-15,4
Luxembourg,Luxembourg,UEFA,26.0,8.0,2.0,36.0,2022-07-16,2026-07-15,4
Malta,Malta,UEFA,25.0,8.0,2.0,35.0,2022-07-16,2026-07-15,4
Moldova,Moldova,UEFA,25.0,8.0,4.0,37.0,2022-07-16,2026-07-15,4
Montenegro,Montenegro,UEFA,26.0,8.0,4.0,38.0,2022-07-16,2026-07-15,4
Netherlands,Netherlands,UEFA,35.0,8.0,8.0,51.0,2022-07-16,2026-07-15,4
North Macedonia,North Macedonia,UEFA,27.0,8.0,4.0,39.0,2022-07-16,2026-07-15,4
Northern Ireland,Northern Ireland,UEFA,24.0,8.0,4.0,36.0,2022-07-16,2026-07-15,4
Norway,Norway,UEFA,26.0,8.0,10.0,44.0,2022-07-16,2026-07-15,4
Poland,Poland,UEFA,32.0,8.0,4.0,44.0,2022-07-16,2026-07-15,4
Portugal,Portugal,UEFA,36.0,8.0,9.0,53.0,2022-07-16,2026-07-15,4
Republic of Ireland,Rep of Ireland,UEFA,26.0,8.0,5.0,39.0,2022-07-16,2026-07-15,4
Romania,Romania,UEFA,30.0,8.0,4.0,42.0,2022-07-16,2026-07-15,4
San Marino,San Marino,UEFA,26.0,8.0,4.0,38.0,2022-07-16,2026-07-15,4
Scotland,Scotland,UEFA,29.0,8.0,7.0,44.0,2022-07-16,2026-07-15,4
Serbia,Serbia,UEFA,31.0,8.0,4.0,43.0,2022-07-16,2026-07-15,4
Slovakia,Slovakia,UEFA,30.0,8.0,4.0,42.0,2022-07-16,2026-07-15,4
Slovenia,Slovenia,UEFA,31.0,8.0,4.0,43.0,2022-07-16,2026-07-15,4
Spain,Spain,UEFA,36.0,8.0,11.0,55.0,2022-07-16,2026-07-15,4
Sweden,Sweden,UEFA,29.0,8.0,8.0,45.0,2022-07-16,2026-07-15,4
Switzerland,Switzerland,UEFA,34.0,8.0,10.0,52.0,2022-07-16,2026-07-15,4
Turkey,Turkey,UEFA,31.0,8.0,7.0,46.0,2022-07-16,2026-07-15,4
Ukraine,Ukraine,UEFA,28.0,8.0,4.0,40.0,2022-07-16,2026-07-15,4
Wales,Wales,UEFA,27.0,8.0,4.0,39.0,2022-07-16,2026-07-15,4
