team,confed,off,def,spi
Uzbekistan,AFC,1.2425705139982373,0.7950222686938304,52.701877934272304
Bulgaria,UEFA,1.3775168093804446,0.9437726800425644,52.54082159624412
Burkina Faso,CAF,1.478319398032221,1.0465896013510154,52.50019561815337
Ghana,CAF,1.3438627246510453,0.9326851835576666,52.247730829420966
Gabon,CAF,1.4163125276125994,1.0159789807883857,52.13617370892018
Kosovo,UEFA,1.3374830195144605,0.9682801757423536,51.75670579029734
Jamaica,CONCACAF,1.3404889644351534,0.9727896226937172,51.70241001564945
Honduras,CONCACAF,1.2605160814273813,0.9264465397650504,51.32859154929578
Northern Ireland,UEFA,1.1515909935298816,0.8361843077618732,51.05221439749609
Saudi Arabia,AFC,1.1373819800856646,0.8216283867456727,51.022355242566505
Equatorial Guinea,CAF,1.1221612719408618,0.839723588892193,50.65697183098591
Jordan,AFC,1.1589071830215478,0.8780891432625811,50.65197183098592
Guinea,CAF,1.2429547551544924,0.9717904898448192,50.56591549295775
New Zealand,OFC,1.0025855949579126,0.7244515377942826,50.54155712050078
Namibia,CAF,1.1999492018163844,0.941965638447148,50.34840375586855
Zambia,CAF,1.349997241220487,1.1612889785289,49.58856025039124
Comoros,CAF,1.228824813408103,1.049302877744246,49.401525821596245
Luxembourg,UEFA,1.0909646368854904,0.9115205258742066,49.35338810641628
Cape Verde Islands,CAF,1.10345783214308,0.9296389367540394,49.291635367762126
Estonia,UEFA,1.0810043079505345,0.9292740780569017,49.0037323943662
Uganda,CAF,1.1196423376804,0.9908551100755354,48.7912676056338
Kazakhstan,UEFA,1.1482044721271984,1.0186253103365437,48.7500469483568
Togo,CAF,1.2638927794161905,1.1481723105349944,48.68843505477309
Oman,AFC,1.110613993425677,0.9963580547958742,48.59200312989046
Benin,CAF,1.255413913917944,1.1531433571051932,48.529068857589984
Armenia,UEFA,1.2748402372332133,1.1771275058656154,48.459084507042256
French Guiana,CONCACAF,0.7644734098642332,0.6436976291913467,48.39262128325508
Azerbaijan,UEFA,1.1503175114650008,1.0740671837802307,48.15580594679186
United Arab Emirates,AFC,1.1583020612310866,1.0862746465027686,48.11838810641627
Angola,CAF,1.0653730545572253,1.001142387399052,47.96414710485133
Gambia,CAF,1.1595569501479357,1.107688001685526,47.86041471048514
Guatemala,CONCACAF,0.951546439067467,0.8910824221338595,47.80975743348983
Mauritania,CAF,0.9974144050420876,0.9433714721586708,47.78141627543036
Iraq,AFC,1.0293433325224428,1.0064686907347595,47.42422535211268
Botswana,CAF,1.0113776888020414,0.9886252638570024,47.41634585289516
Zimbabwe,CAF,1.089216112225549,1.093306445150681,47.15995305164319
Mozambique,CAF,1.099651649517291,1.1048571961186973,47.14476525821596
Belarus,UEFA,0.9164055557551196,0.9339302499250032,46.84607981220657
