team,name,confed,incoming_prior_matches,stage3_matches,prior_matches,evidence_window_start,evidence_window_end,evidence_window_years
Burkina Faso,Burkina Faso,CAF,45.0,3.0,48.0,2022-07-16,2026-07-15,4
Burundi,Burundi,CAF,24.0,1.0,25.0,2022-07-16,2026-07-15,4
Cambodia,Cambodia,AFC,27.0,2.0,29.0,2022-07-16,2026-07-15,4
Cameroon,Cameroon,CAF,42.0,2.0,44.0,2022-07-16,2026-07-15,4
Canada,Canada,CONCACAF,46.0,9.0,55.0,2022-07-16,2026-07-15,4
Cape Verde,Cape Verde Islands,CAF,37.0,8.0,45.0,2022-07-16,2026-07-15,4
Cayman Islands,Cayman Islands,CONCACAF,17.0,3.0,20.0,2022-07-16,2026-07-15,4
Central African Republic,Central African Republic,CAF,23.0,2.0,25.0,2022-07-16,2026-07-15,4
Chad,Chad,CAF,23.0,0.0,23.0,2022-07-16,2026-07-15,4
Chile,Chile,CONMEBOL,35.0,4.0,39.0,2022-07-16,2026-07-15,4
China,China PR,AFC,32.0,4.0,36.0,2022-07-16,2026-07-15,4
Colombia,Colombia,CONMEBOL,41.0,9.0,50.0,2022-07-16,2026-07-15,4
Comoros,Comoros,CAF,40.0,3.0,43.0,2022-07-16,2026-07-15,4
Congo,Congo,CAF,18.0,0.0,18.0,2022-07-16,2026-07-15,4
Costa Rica,Costa Rica,CONCACAF,49.0,4.0,53.0,2022-07-16,2026-07-15,4
Croatia,Croatia,UEFA,43.0,8.0,51.0,2022-07-16,2026-07-15,4
Cuba,Cuba,CONCACAF,32.0,2.0,34.0,2022-07-16,2026-07-15,4
Curaçao,Curacao,CONCACAF,32.0,7.0,39.0,2022-07-16,2026-07-15,4
Cyprus,Cyprus,UEFA,34.0,4.0,38.0,2022-07-16,2026-07-15,4
Czech Republic,Czech Republic,UEFA,37.0,7.0,44.0,2022-07-16,2026-07-15,4
DR Congo,Congo DR,CAF,43.0,8.0,51.0,2022-07-16,2026-07-15,4
Denmark,Denmark,UEFA,39.0,4.0,43.0,2022-07-16,2026-07-15,4
Djibouti,Djibouti,CAF,16.0,0.0,16.0,2022-07-16,2026-07-15,4
Dominica,Dominica,CONCACAF,19.0,2.0,21.0,2022-07-16,2026-07-15,4
Dominican Republic,Dominican Republic,CONCACAF,32.0,3.0,35.0,2022-07-16,2026-07-15,4
East Timor,Timor-Leste,AFC,18.0,0.0,18.0,2022-07-16,2026-07-15,4
Ecuador,Ecuador,CONMEBOL,41.0,8.0,49.0,2022-07-16,2026-07-15,4
Egypt,Egypt,CAF,46.0,8.0,54.0,2022-07-16,2026-07-15,4
El Salvador,El Salvador,CONCACAF,41.0,4.0,45.0,2022-07-16,2026-07-15,4
England,England,UEFA,44.0,11.0,55.0,2022-07-16,2026-07-15,4
Equatorial Guinea,Equatorial Guinea,CAF,36.0,3.0,39.0,2022-07-16,2026-07-15,4
Estonia,Estonia,UEFA,38.0,4.0,42.0,2022-07-16,2026-07-15,4
Eswatini,Swaziland,CAF,27.0,0.0,27.0,2022-07-16,2026-07-15,4
Ethiopia,Ethiopia,CAF,25.0,2.0,27.0,2022-07-16,2026-07-15,4
Faroe Islands,Faroe Islands,UEFA,34.0,3.0,37.0,2022-07-16,2026-07-15,4
Fiji,Fiji,OFC,29.0,1.0,30.0,2022-07-16,2026-07-15,4
Finland,Finland,UEFA,36.0,4.0,40.0,2022-07-16,2026-07-15,4
France,France,UEFA,45.0,11.0,56.0,2022-07-16,2026-07-15,4
Gabon,Gabon,CAF,31.0,2.0,33.0,2022-07-16,2026-07-15,4
Gambia,Gambia,CAF,27.0,2.0,29.0,2022-07-16,2026-07-15,4
Georgia,Georgia,UEFA,36.0,4.0,40.0,2022-07-16,2026-07-15,4
Germany,Germany,UEFA,42.0,8.0,50.0,2022-07-16,2026-07-15,4
Ghana,Ghana,CAF,38.0,8.0,46.0,2022-07-16,2026-07-15,4
Gibraltar,Gibraltar,UEFA,34.0,2.0,36.0,2022-07-16,2026-07-15,4
Greece,Greece,UEFA,34.0,4.0,38.0,2022-07-16,2026-07-15,4
Grenada,Grenada,CONCACAF,29.0,3.0,32.0,2022-07-16,2026-07-15,4
Guadeloupe,Guadeloupe,CONCACAF,24.0,0.0,24.0,2022-07-16,2026-07-15,4
Guatemala,Guatemala,CONCACAF,51.0,3.0,54.0,2022-07-16,2026-07-15,4
Guinea,Guinea,CAF,35.0,3.0,38.0,2022-07-16,2026-07-15,4
Guinea-Bissau,Guinea-Bissau,CAF,29.0,2.0,31.0,2022-07-16,2026-07-15,4
Guyana,Guyana,CONCACAF,28.0,2.0,30.0,2022-07-16,2026-07-15,4
Haiti,Haiti,CONCACAF,30.0,7.0,37.0,2022-07-16,2026-07-15,4
Honduras,Honduras,CONCACAF,45.0,2.0,47.0,2022-07-16,2026-07-15,4
Hong Kong,Hong Kong,AFC,44.0,1.0,45.0,2022-07-16,2026-07-15,4
Hungary,Hungary,UEFA,37.0,4.0,41.0,2022-07-16,2026-07-15,4
Iceland,Iceland,UEFA,40.0,5.0,45.0,2022-07-16,2026-07-15,4
India,India,AFC,31.0,4.0,35.0,2022-07-16,2026-07-15,4
Indonesia,Indonesia,AFC,47.0,4.0,51.0,2022-07-16,2026-07-15,4
Iran,Iran,AFC,41.0,7.0,48.0,2022-07-16,2026-07-15,4
Iraq,Iraq,AFC,49.0,7.0,56.0,2022-07-16,2026-07-15,4
Israel,Israel,UEFA,33.0,2.0,35.0,2022-07-16,2026-07-15,4
Italy,Italy,UEFA,38.0,4.0,42.0,2022-07-16,2026-07-15,4
Ivory Coast,Ivory Coast,CAF,45.0,7.0,52.0,2022-07-16,2026-07-15,4
Jamaica,Jamaica,CONCACAF,52.0,5.0,57.0,2022-07-16,2026-07-15,4
Japan,Japan,AFC,45.0,7.0,52.0,2022-07-16,2026-07-15,4
Jordan,Jordan,AFC,49.0,7.0,56.0,2022-07-16,2026-07-15,4
Kazakhstan,Kazakhstan,UEFA,35.0,4.0,39.0,2022-07-16,2026-07-15,4
Kenya,Kenya,CAF,28.0,3.0,31.0,2022-07-16,2026-07-15,4
Kosovo,Kosovo,UEFA,33.0,4.0,37.0,2022-07-16,2026-07-15,4
Kuwait,Kuwait,AFC,46.0,1.0,47.0,2022-07-16,2026-07-15,4
Kyrgyzstan,Kyrgyzstan,AFC,29.0,4.0,33.0,2022-07-16,2026-07-15,4
Laos,Laos,AFC,23.0,0.0,23.0,2022-07-16,2026-07-15,4
Latvia,Latvia,UEFA,34.0,2.0,36.0,2022-07-16,2026-07-15,4
Lebanon,Lebanon,AFC,35.0,0.0,35.0,2022-07-16,2026-07-15,4
Lesotho,Lesotho,CAF,32.0,1.0,33.0,2022-07-16,2026-07-15,4
Liberia,Liberia,CAF,26.0,4.0,30.0,2022-07-16,2026-07-15,4
Libya,Libya,CAF,30.0,2.0,32.0,2022-07-16,2026-07-15,4
Liechtenstein,Liechtenstein,UEFA,33.0,4.0,37.0,2022-07-16,2026-07-15,4
Lithuania,Lithuania,UEFA,34.0,4.0,38.0,2022-07-16,2026-07-15,4
Luxembourg,Luxembourg,UEFA,34.0,2.0,36.0,2022-07-16,2026-07-15,4
Madagascar,Madagascar,CAF,29.0,3.0,32.0,2022-07-16,2026-07-15,4
Malawi,Malawi,CAF,29.0,3.0,32.0,2022-07-16,2026-07-15,4
Malaysia,Malaysia,AFC,44.0,0.0,44.0,2022-07-16,2026-07-15,4
Maldives,Maldives,AFC,21.0,2.0,23.0,2022-07-16,2026-07-15,4
Mali,Mali,CAF,38.0,1.0,39.0,2022-07-16,2026-07-15,4
Malta,Malta,UEFA,33.0,2.0,35.0,2022-07-16,2026-07-15,4
Martinique,Martinique,CONCACAF,19.0,2.0,21.0,2022-07-16,2026-07-15,4
Mauritania,Mauritania,CAF,36.0,3.0,39.0,2022-07-16,2026-07-15,4
Mauritius,Mauritius,CAF,24.0,0.0,24.0,2022-07-16,2026-07-15,4
Mexico,Mexico,CONCACAF,59.0,11.0,70.0,2022-07-16,2026-07-15,4
Moldova,Moldova,UEFA,33.0,4.0,37.0,2022-07-16,2026-07-15,4
Montenegro,Montenegro,UEFA,34.0,4.0,38.0,2022-07-16,2026-07-15,4
Montserrat,Montserrat,CONCACAF,18.0,0.0,18.0,2022-07-16,2026-07-15,4
Morocco,Morocco,CAF,56.0,11.0,67.0,2022-07-16,2026-07-15,4
Mozambique,Mozambique,CAF,40.0,1.0,41.0,2022-07-16,2026-07-15,4
Myanmar,Myanmar,AFC,34.0,1.0,35.0,2022-07-16,2026-07-15,4
Namibia,Namibia,CAF,31.0,2.0,33.0,2022-07-16,2026-07-15,4
Nepal,Nepal,AFC,30.0,0.0,30.0,2022-07-16,2026-07-15,4
Netherlands,Netherlands,UEFA,43.0,8.0,51.0,2022-07-16,2026-07-15,4
New Caledonia,New Caledonia,OFC,16.0,1.0,17.0,2022-07-16,2026-07-15,4
New Zealand,New Zealand,OFC,31.0,7.0,38.0,2022-07-16,2026-07-15,4
Nicaragua,Nicaragua,CONCACAF,36.0,2.0,38.0,2022-07-16,2026-07-15,4
Niger,Niger,CAF,30.0,4.0,34.0,2022-07-16,2026-07-15,4
Nigeria,Nigeria,CAF,44.0,6.0,50.0,2022-07-16,2026-07-15,4
North Korea,North Korea,AFC,18.0,0.0,18.0,2022-07-16,2026-07-15,4
North Macedonia,North Macedonia,UEFA,35.0,4.0,39.0,2022-07-16,2026-07-15,4
Northern Ireland,Northern Ireland,UEFA,32.0,4.0,36.0,2022-07-16,2026-07-15,4
Norway,Norway,UEFA,34.0,10.0,44.0,2022-07-16,2026-07-15,4
Oman,Oman,AFC,54.0,1.0,55.0,2022-07-16,2026-07-15,4
Pakistan,Pakistan,AFC,21.0,3.0,24.0,2022-07-16,2026-07-15,4
Palestine,Palestine,AFC,33.0,2.0,35.0,2022-07-16,2026-07-15,4
Panama,Panama,CONCACAF,54.0,8.0,62.0,2022-07-16,2026-07-15,4
Papua New Guinea,Papua New Guinea,OFC,24.0,0.0,24.0,2022-07-16,2026-07-15,4
Paraguay,Paraguay,CONMEBOL,35.0,8.0,43.0,2022-07-16,2026-07-15,4
Peru,Peru,CONMEBOL,35.0,4.0,39.0,2022-07-16,2026-07-15,4
Philippines,Philippines,AFC,35.0,1.0,36.0,2022-07-16,2026-07-15,4
Poland,Poland,UEFA,40.0,4.0,44.0,2022-07-16,2026-07-15,4
Portugal,Portugal,UEFA,44.0,9.0,53.0,2022-07-16,2026-07-15,4
Puerto Rico,Puerto Rico,CONCACAF,26.0,2.0,28.0,2022-07-16,2026-07-15,4
Qatar,Qatar,AFC,56.0,5.0,61.0,2022-07-16,2026-07-15,4
Republic of Ireland,Rep of Ireland,UEFA,34.0,5.0,39.0,2022-07-16,2026-07-15,4
Romania,Romania,UEFA,38.0,4.0,42.0,2022-07-16,2026-07-15,4
Rwanda,Rwanda,CAF,26.0,2.0,28.0,2022-07-16,2026-07-15,4
Saint Kitts and Nevis,St. Kitts and Nevis,CONCACAF,32.0,2.0,34.0,2022-07-16,2026-07-15,4
Saint Lucia,St. Lucia,CONCACAF,25.0,1.0,26.0,2022-07-16,2026-07-15,4
Saint Martin,St. Martin,CONCACAF,15.0,2.0,17.0,2022-07-16,2026-07-15,4
Saint Vincent and the Grenadines,St. Vincent and the Grenadines,CONCACAF,31.0,2.0,33.0,2022-07-16,2026-07-15,4
San Marino,San Marino,UEFA,34.0,4.0,38.0,2022-07-16,2026-07-15,4
Saudi Arabia,Saudi Arabia,AFC,63.0,8.0,71.0,2022-07-16,2026-07-15,4
Scotland,Scotland,UEFA,37.0,7.0,44.0,2022-07-16,2026-07-15,4
Senegal,Senegal,CAF,48.0,8.0,56.0,2022-07-16,2026-07-15,4
Serbia,Serbia,UEFA,39.0,4.0,43.0,2022-07-16,2026-07-15,4
Seychelles,Seychelles,CAF,18.0,0.0,18.0,2022-07-16,2026-07-15,4
Sierra Leone,Sierra Leone,CAF,26.0,3.0,29.0,2022-07-16,2026-07-15,4
Singapore,Singapore,AFC,39.0,1.0,40.0,2022-07-16,2026-07-15,4
Sint Maarten,Sint Maarten,CONCACAF,17.0,2.0,19.0,2022-07-16,2026-07-15,4
Slovakia,Slovakia,UEFA,38.0,4.0,42.0,2022-07-16,2026-07-15,4
Slovenia,Slovenia,UEFA,39.0,4.0,43.0,2022-07-16,2026-07-15,4
Solomon Islands,Solomon Islands,OFC,27.0,2.0,29.0,2022-07-16,2026-07-15,4
Somalia,Somalia,CAF,16.0,0.0,16.0,2022-07-16,2026-07-15,4
South Africa,South Africa,CAF,50.0,8.0,58.0,2022-07-16,2026-07-15,4
South Korea,South Korea,AFC,47.0,7.0,54.0,2022-07-16,2026-07-15,4
South Sudan,South Sudan,CAF,25.0,0.0,25.0,2022-07-16,2026-07-15,4
Spain,Spain,UEFA,44.0,11.0,55.0,2022-07-16,2026-07-15,4
Sri Lanka,Sri Lanka,AFC,21.0,0.0,21.0,2022-07-16,2026-07-15,4
Sudan,Sudan,CAF,36.0,0.0,36.0,2022-07-16,2026-07-15,4
Suriname,Suriname,CONCACAF,29.0,1.0,30.0,2022-07-16,2026-07-15,4
Sweden,Sweden,UEFA,37.0,8.0,45.0,2022-07-16,2026-07-15,4
Switzerland,Switzerland,UEFA,42.0,10.0,52.0,2022-07-16,2026-07-15,4
Syria,Syria,AFC,42.0,1.0,43.0,2022-07-16,2026-07-15,4
São Tomé and Príncipe,Sao Tome and Principe,CAF,16.0,0.0,16.0,2022-07-16,2026-07-15,4
Taiwan,Chinese Taipei,AFC,23.0,0.0,23.0,2022-07-16,2026-07-15,4
Tajikistan,Tajikistan,AFC,34.0,2.0,36.0,2022-07-16,2026-07-15,4
Tanzania,Tanzania,CAF,37.0,1.0,38.0,2022-07-16,2026-07-15,4
Thailand,Thailand,AFC,54.0,2.0,56.0,2022-07-16,2026-07-15,4
Togo,Togo,CAF,25.0,4.0,29.0,2022-07-16,2026-07-15,4
Trinidad and Tobago,Trinidad and Tobago,CONCACAF,45.0,4.0,49.0,2022-07-16,2026-07-15,4
Tunisia,Tunisia,CAF,48.0,7.0,55.0,2022-07-16,2026-07-15,4
Turkey,Turkey,UEFA,39.0,7.0,46.0,2022-07-16,2026-07-15,4
Turkmenistan,Turkmenistan,AFC,18.0,0.0,18.0,2022-07-16,2026-07-15,4
Turks and Caicos Islands,Turks and Caicos Islands,CONCACAF,13.0,0.0,13.0,2022-07-16,2026-07-15,4
Uganda,Uganda,CAF,34.0,0.0,34.0,2022-07-16,2026-07-15,4
Ukraine,Ukraine,UEFA,36.0,4.0,40.0,2022-07-16,2026-07-15,4
United Arab Emirates,United Arab Emirates,AFC,48.0,0.0,48.0,2022-07-16,2026-07-15,4
United States,USA,CONCACAF,56.0,9.0,65.0,2022-07-16,2026-07-15,4
United States Virgin Islands,US Virgin Islands,CONCACAF,13.0,1.0,14.0,2022-07-16,2026-07-15,4
Uruguay,Uruguay,CONMEBOL,42.0,5.0,47.0,2022-07-16,2026-07-15,4
Uzbekistan,Uzbekistan,AFC,42.0,7.0,49.0,2022-07-16,2026-07-15,4
Vanuatu,Vanuatu,OFC,25.0,1.0,26.0,2022-07-16,2026-07-15,4
Venezuela,Venezuela,CONMEBOL,36.0,4.0,40.0,2022-07-16,2026-07-15,4
Vietnam,Vietnam,AFC,44.0,1.0,45.0,2022-07-16,2026-07-15,4
Wales,Wales,UEFA,35.0,4.0,39.0,2022-07-16,2026-07-15,4
Yemen,Yemen,AFC,22.0,0.0,22.0,2022-07-16,2026-07-15,4
Zambia,Zambia,CAF,37.0,1.0,38.0,2022-07-16,2026-07-15,4
Zimbabwe,Zimbabwe,CAF,23.0,3.0,26.0,2022-07-16,2026-07-15,4
