rank_old,name,confed_old,off_old,def_old,spi_old,rank_new,confed_new,off_new,def_new,spi_new,_merge,rank_change,off_change,def_change,spi_change
83,Comoros,CAF,1.1871917603931963,0.9954630472255388,48.806008130081295,86,CAF,1.13354188989394,0.982051766018005,48.46940650406504,both,-3,-0.05364987049925629,-0.013411281207533765,-0.3366016260162539
84,Estonia,UEFA,1.1109632986384226,0.9386504175190172,48.52675609756098,87,UEFA,1.109525742679176,0.9697769022425818,48.35041463414634,both,-3,-0.0014375559592465503,0.031126484723564607,-0.1763414634146372
93,Gambia,CAF,1.1625784909526384,1.0856618802362277,47.38692682926829,88,CAF,1.2374993063667072,1.1131595333164022,48.214260162601626,both,5,0.07492081541406881,0.02749765308017449,0.8273333333333355
85,Zambia,CAF,1.2379645206657208,1.1031600168541356,48.13743902439025,89,CAF,1.2126832502336389,1.1162266789422244,47.90921951219512,both,-4,-0.025281270432081948,0.01306666208808882,-0.2282195121951247
89,United Arab Emirates,AFC,1.200756554093363,1.1040784666667218,47.658853658536586,90,AFC,1.2078841825917075,1.1187542510990371,47.80247967479674,both,-1,0.007127628498344585,0.01467578443231532,0.14362601626015703
96,Togo,CAF,1.1005010869393168,1.0697307105735323,46.79437398373984,91,CAF,1.159802770632851,1.0724800582767748,47.727894308943085,both,5,0.05930168369353428,0.002749347703242533,0.9335203252032471
101,Malta,UEFA,0.8592156870741374,0.8508019173446935,46.252081300813,92,UEFA,0.9330466329500904,0.8555280349074637,47.420479674796745,both,9,0.07383094587595296,0.0047261175627701935,1.1683983739837416
88,Armenia,UEFA,1.2361748732243505,1.138354649287806,47.71513821138211,93,UEFA,1.221611382810229,1.1703293464660958,47.3320243902439,both,-5,-0.014563490414121416,0.03197469717828971,-0.3831138211382097
98,Iraq,AFC,1.008864850113519,0.9731949789475508,46.720260162601626,94,AFC,1.0468076830223831,0.9906696124976344,47.25724390243902,both,4,0.037942832908864244,0.017474633550083607,0.536983739837396
97,Angola,CAF,1.034597100738743,1.004536952774461,46.747235772357726,95,CAF,1.043538060130095,0.9994586940484952,47.11004878048781,both,2,0.008940959391352088,-0.00507825872596579,0.36281300813008244
91,Oman,AFC,1.0340493890495537,0.941021244508199,47.52347967479675,96,AFC,1.021318089748391,0.9797948080706728,47.08437398373984,both,-5,-0.01273129930116279,0.038773563562473745,-0.4391056910569091
94,Guatemala,CONCACAF,1.0336048575185244,0.95673367191633,47.25781300813008,97,CONCACAF,1.0274885411536598,0.983171108897974,47.06873983739837,both,-3,-0.006116316364864538,0.026437436981644025,-0.18907317073171015
102,Luxembourg,UEFA,0.8995935562271055,0.8970530137901548,46.23211382113821,98,UEFA,0.9157441332522392,0.8763962682488502,46.93978861788617,both,4,0.016150577025133783,-0.02065674554130459,0.7076747967479591
92,Namibia,CAF,1.0777954891395305,0.994299635239716,47.40843089430894,99,CAF,1.0186780785125436,1.0005362300131992,46.80939837398374,both,-7,-0.059117410626986944,0.006236594773483262,-0.5990325203252027
100,Palestine,AFC,0.8631703356601663,0.8474805401600711,46.36566666666667,100,AFC,0.8187886762042872,0.8099522872428702,46.40168292682927,both,0,-0.04438165945587913,-0.037528252917200966,0.03601626016259729
107,Mauritania,CAF,0.8319588784263281,0.8913409101890516,45.403739837398376,101,CAF,0.888786327421878,0.891880525594814,46.38017073170733,both,6,0.05682744899554992,0.000539615405762417,0.9764308943089546
99,Equatorial Guinea,CAF,1.0352916163526222,1.0198200020876549,46.521520325203255,102,CAF,0.9917217916908856,1.012901228409942,46.25160162601627,both,-3,-0.043569824661736645,-0.006918773677712986,-0.26991869918698796
103,Faroe Islands,UEFA,0.9416746128746332,0.9435264367041604,46.20862601626016,103,UEFA,0.9376725298495514,0.9650482645373024,46.19276422764227,both,0,-0.00400208302508176,0.02152182783314205,-0.015861788617890227
120,Haiti,CONCACAF,0.99989866353175,1.21227447307505,43.805804878048775,104,CONCACAF,1.075862753185672,1.153907383677648,45.724,both,16,0.07596408965392187,-0.058367089397402205,1.9181951219512214
109,Cyprus,UEFA,0.9766116753288346,1.063448870136236,45.2268699186992,105,UEFA,0.985135931104924,1.0610230180765945,45.628918699187,both,4,0.008524255776089396,-0.002425852059641409,0.4020487804877959
