team,name,confed,prior_matches,new_matches,total_matches,prior_weight,new_weight,prior_off,prior_xG_scaled,new_xG,pooled_xG_pre_normalization,xG,prior_def,prior_xGA_scaled,new_xGA,pooled_xGA_pre_normalization,xGA
Benin,Benin,CAF,27.0,10.0,37.0,0.7297297297297297,0.2702702702702703,1.255413913917944,1.2341367895665376,1.0871845334098216,1.1944199635782362,1.1617895980036894,1.1531433571051932,1.1531433571051932,0.8600880243823996,1.0739392131260597,1.0248487977959073
Bermuda,Bermuda,CONCACAF,23.0,8.0,31.0,0.7419354838709677,0.25806451612903225,0.7320393201049163,0.719632502344404,0.4531196369113757,0.6508549886842677,0.633074277657669,2.02521851787272,2.02521851787272,1.8889781153440688,1.9900597043169392,1.8990928635286688
Bhutan,Bhutan,AFC,13.0,5.0,18.0,0.7222222222222222,0.2777777777777778,0.0611457884485642,0.06010947163706363,0.001217203588904,0.043750508290352624,0.042555287912999194,2.634459490951884,2.634459490951884,2.867315150197835,2.699141618520204,2.5757622116891925
Bolivia,Bolivia,CONMEBOL,33.0,9.0,42.0,0.7857142857142857,0.21428571428571427,1.575505136461757,1.5488030119009744,1.0647944947892196,1.4450869010913125,1.4056085640679294,0.7528555463864337,0.7528555463864337,0.7632810043508863,0.7550895730931021,0.7205739689494467
Bonaire,Bonaire,CONCACAF,18.0,2.0,20.0,0.9,0.1,0.0749004382665367,0.07363100360335188,0.0379684733972785,0.07006475058274454,0.06815065127503095,1.5955236452451511,1.5955236452451511,0.5705460925246817,1.4930258899731041,1.4247787674715378
Bosnia and Herzegovina,Bosnia and Herzegovina,UEFA,29.0,8.0,37.0,0.7837837837837838,0.21621621621621623,1.4078954085524618,1.384033982970474,2.0006942314718508,1.5173659285923933,1.4759130004179486,0.9037479172383176,0.9037479172383176,1.138791937165268,0.9545682458711716,0.9109343501366182
Botswana,Botswana,CAF,31.0,7.0,38.0,0.8157894736842105,0.18421052631578946,1.0113776888020414,0.9942365621884919,0.6354169541947935,0.9281382133475474,0.9027824003766154,0.9886252638570024,0.9886252638570024,1.5189496550405013,1.0863165990750154,1.0366604058968159
Brazil,Brazil,CONMEBOL,38.0,8.0,46.0,0.8260869565217391,0.17391304347826086,2.5471583554991484,2.503988366325186,1.9444572301940768,2.406678603519776,2.340930537472698,0.5498549941844474,0.5498549941844474,0.4700559858054171,0.535976905770703,0.5114770750632779
British Virgin Islands,British Virgin Islands,CONCACAF,16.0,6.0,22.0,0.7272727272727273,0.2727272727272727,0.1192317420814612,0.11721096743910854,0.1611818089267687,0.1292030151175613,0.1256733172347583,1.0829499730914942,1.0829499730914942,1.5548383268968995,1.2116467968566047,1.1562616840269853
Brunei,Brunei,AFC,23.0,5.0,28.0,0.8214285714285714,0.17857142857142858,0.0550789278191031,0.054145433946399535,0.0010633503373769,0.04466649044478834,0.04344624634590446,2.634459490951884,2.634459490951884,2.867315150197835,2.6760408586743756,2.5537174016414657
