team,name,confed,prior_matches,evidence_window_start,prior_evidence_end,evidence_window_years
Finland,Finland,UEFA,34.0,2022-01-27,2025-05-26,4
Bosnia and Herzegovina,Bosnia and Herzegovina,UEFA,29.0,2022-01-27,2025-05-26,4
Uzbekistan,Uzbekistan,AFC,41.0,2022-01-27,2025-05-26,4
Bulgaria,Bulgaria,UEFA,32.0,2022-01-27,2025-05-26,4
Burkina Faso,Burkina Faso,CAF,40.0,2022-01-27,2025-05-26,4
Ghana,Ghana,CAF,36.0,2022-01-27,2025-05-26,4
Gabon,Gabon,CAF,23.0,2022-01-27,2025-05-26,4
Kosovo,Kosovo,UEFA,31.0,2022-01-27,2025-05-26,4
Jamaica,Jamaica,CONCACAF,47.0,2022-01-27,2025-05-26,4
Honduras,Honduras,CONCACAF,41.0,2022-01-27,2025-05-26,4
Northern Ireland,Northern Ireland,UEFA,30.0,2022-01-27,2025-05-26,4
Saudi Arabia,Saudi Arabia,AFC,51.0,2022-01-27,2025-05-26,4
Equatorial Guinea,Equatorial Guinea,CAF,31.0,2022-01-27,2025-05-26,4
Jordan,Jordan,AFC,41.0,2022-01-27,2025-05-26,4
Guinea,Guinea,CAF,32.0,2022-01-27,2025-05-26,4
New Zealand,New Zealand,OFC,32.0,2022-01-27,2025-05-26,4
Namibia,Namibia,CAF,28.0,2022-01-27,2025-05-26,4
Zambia,Zambia,CAF,36.0,2022-01-27,2025-05-26,4
Comoros,Comoros,CAF,32.0,2022-01-27,2025-05-26,4
Luxembourg,Luxembourg,UEFA,32.0,2022-01-27,2025-05-26,4
Cape Verde,Cape Verde Islands,CAF,34.0,2022-01-27,2025-05-26,4
Estonia,Estonia,UEFA,36.0,2022-01-27,2025-05-26,4
Uganda,Uganda,CAF,28.0,2022-01-27,2025-05-26,4
Kazakhstan,Kazakhstan,UEFA,33.0,2022-01-27,2025-05-26,4
Togo,Togo,CAF,25.0,2022-01-27,2025-05-26,4
Oman,Oman,AFC,49.0,2022-01-27,2025-05-26,4
Benin,Benin,CAF,27.0,2022-01-27,2025-05-26,4
Armenia,Armenia,UEFA,32.0,2022-01-27,2025-05-26,4
Azerbaijan,Azerbaijan,UEFA,31.0,2022-01-27,2025-05-26,4
United Arab Emirates,United Arab Emirates,AFC,41.0,2022-01-27,2025-05-26,4
Angola,Angola,CAF,40.0,2022-01-27,2025-05-26,4
Gambia,Gambia,CAF,26.0,2022-01-27,2025-05-26,4
Guatemala,Guatemala,CONCACAF,45.0,2022-01-27,2025-05-26,4
Mauritania,Mauritania,CAF,31.0,2022-01-27,2025-05-26,4
Iraq,Iraq,AFC,42.0,2022-01-27,2025-05-26,4
Botswana,Botswana,CAF,31.0,2022-01-27,2025-05-26,4
Zimbabwe,Zimbabwe,CAF,12.0,2022-01-27,2025-05-26,4
Mozambique,Mozambique,CAF,36.0,2022-01-27,2025-05-26,4
Belarus,Belarus,UEFA,32.0,2022-01-27,2025-05-26,4
Kenya,Kenya,CAF,21.0,2022-01-27,2025-05-26,4
Sierra Leone,Sierra Leone,CAF,27.0,2022-01-27,2025-05-26,4
Palestine,Palestine,AFC,28.0,2022-01-27,2025-05-26,4
Moldova,Moldova,UEFA,31.0,2022-01-27,2025-05-26,4
Central African Republic,Central African Republic,CAF,22.0,2022-01-27,2025-05-26,4
Sudan,Sudan,CAF,27.0,2022-01-27,2025-05-26,4
Malta,Malta,UEFA,31.0,2022-01-27,2025-05-26,4
Tanzania,Tanzania,CAF,31.0,2022-01-27,2025-05-26,4
Rwanda,Rwanda,CAF,22.0,2022-01-27,2025-05-26,4
Guinea-Bissau,Guinea-Bissau,CAF,27.0,2022-01-27,2025-05-26,4
El Salvador,El Salvador,CONCACAF,39.0,2022-01-27,2025-05-26,4
Latvia,Latvia,UEFA,32.0,2022-01-27,2025-05-26,4
Martinique,Martinique,CONCACAF,20.0,2022-01-27,2025-05-26,4
Bahrain,Bahrain,AFC,50.0,2022-01-27,2025-05-26,4
Cyprus,Cyprus,UEFA,32.0,2022-01-27,2025-05-26,4
North Korea,North Korea,AFC,16.0,2022-01-27,2025-05-26,4
Faroe Islands,Faroe Islands,UEFA,32.0,2022-01-27,2025-05-26,4
Congo,Congo,CAF,19.0,2022-01-27,2025-05-26,4
Indonesia,Indonesia,AFC,47.0,2022-01-27,2025-05-26,4
Malawi,Malawi,CAF,28.0,2022-01-27,2025-05-26,4
Niger,Niger,CAF,26.0,2022-01-27,2025-05-26,4
Liberia,Liberia,CAF,25.0,2022-01-27,2025-05-26,4
Eswatini,Swaziland,CAF,33.0,2022-01-27,2025-05-26,4
Andorra,Andorra,UEFA,32.0,2022-01-27,2025-05-26,4
Trinidad and Tobago,Trinidad and Tobago,CONCACAF,39.0,2022-01-27,2025-05-26,4
Libya,Libya,CAF,30.0,2022-01-27,2025-05-26,4
Ethiopia,Ethiopia,CAF,26.0,2022-01-27,2025-05-26,4
Lithuania,Lithuania,UEFA,32.0,2022-01-27,2025-05-26,4
Syria,Syria,AFC,36.0,2022-01-27,2025-05-26,4
China,China PR,AFC,33.0,2022-01-27,2025-05-26,4
San Marino,San Marino,UEFA,32.0,2022-01-27,2025-05-26,4
Haiti,Haiti,CONCACAF,24.0,2022-01-27,2025-05-26,4
Tajikistan,Tajikistan,AFC,35.0,2022-01-27,2025-05-26,4
Suriname,Suriname,CONCACAF,24.0,2022-01-27,2025-05-26,4
Somalia,Somalia,CAF,12.0,2022-01-27,2025-05-26,4
Nicaragua,Nicaragua,CONCACAF,33.0,2022-01-27,2025-05-26,4
South Sudan,South Sudan,CAF,25.0,2022-01-27,2025-05-26,4
Lesotho,Lesotho,CAF,35.0,2022-01-27,2025-05-26,4
Madagascar,Madagascar,CAF,27.0,2022-01-27,2025-05-26,4
Taiwan,Chinese Taipei,AFC,18.0,2022-01-27,2025-05-26,4
Kyrgyzstan,Kyrgyzstan,AFC,32.0,2022-01-27,2025-05-26,4
Djibouti,Djibouti,CAF,13.0,2022-01-27,2025-05-26,4
Cuba,Cuba,CONCACAF,31.0,2022-01-27,2025-05-26,4
Gibraltar,Gibraltar,UEFA,32.0,2022-01-27,2025-05-26,4
Burundi,Burundi,CAF,22.0,2022-01-27,2025-05-26,4
Kuwait,Kuwait,AFC,44.0,2022-01-27,2025-05-26,4
Dominican Republic,Dominican Republic,CONCACAF,27.0,2022-01-27,2025-05-26,4
India,India,AFC,32.0,2022-01-27,2025-05-26,4
Vietnam,Vietnam,AFC,45.0,2022-01-27,2025-05-26,4
Saint Martin,St. Martin,CONCACAF,14.0,2022-01-27,2025-05-26,4
Chad,Chad,CAF,17.0,2022-01-27,2025-05-26,4
Lebanon,Lebanon,AFC,31.0,2022-01-27,2025-05-26,4
Curaçao,Curacao,CONCACAF,24.0,2022-01-27,2025-05-26,4
Montserrat,Montserrat,CONCACAF,19.0,2022-01-27,2025-05-26,4
Thailand,Thailand,AFC,54.0,2022-01-27,2025-05-26,4
Mauritius,Mauritius,CAF,28.0,2022-01-27,2025-05-26,4
Hong Kong,Hong Kong,AFC,40.0,2022-01-27,2025-05-26,4
Grenada,Grenada,CONCACAF,28.0,2022-01-27,2025-05-26,4
Liechtenstein,Liechtenstein,UEFA,31.0,2022-01-27,2025-05-26,4
São Tomé and Príncipe,Sao Tome and Principe,CAF,16.0,2022-01-27,2025-05-26,4
Pakistan,Pakistan,AFC,17.0,2022-01-27,2025-05-26,4
Afghanistan,Afghanistan,AFC,20.0,2022-01-27,2025-05-26,4
Seychelles,Seychelles,CAF,20.0,2022-01-27,2025-05-26,4
Turkmenistan,Turkmenistan,AFC,18.0,2022-01-27,2025-05-26,4
British Virgin Islands,British Virgin Islands,CONCACAF,16.0,2022-01-27,2025-05-26,4
Saint Vincent and the Grenadines,St. Vincent and the Grenadines,CONCACAF,30.0,2022-01-27,2025-05-26,4
Malaysia,Malaysia,AFC,43.0,2022-01-27,2025-05-26,4
Bermuda,Bermuda,CONCACAF,23.0,2022-01-27,2025-05-26,4
Yemen,Yemen,AFC,20.0,2022-01-27,2025-05-26,4
Guyana,Guyana,CONCACAF,31.0,2022-01-27,2025-05-26,4
Nepal,Nepal,AFC,30.0,2022-01-27,2025-05-26,4
Papua New Guinea,Papua New Guinea,OFC,25.0,2022-01-27,2025-05-26,4
Bangladesh,Bangladesh,AFC,31.0,2022-01-27,2025-05-26,4
Cambodia,Cambodia,AFC,29.0,2022-01-27,2025-05-26,4
New Caledonia,New Caledonia,OFC,18.0,2022-01-27,2025-05-26,4
Puerto Rico,Puerto Rico,CONCACAF,24.0,2022-01-27,2025-05-26,4
Solomon Islands,Solomon Islands,OFC,28.0,2022-01-27,2025-05-26,4
Myanmar,Myanmar,AFC,34.0,2022-01-27,2025-05-26,4
Singapore,Singapore,AFC,37.0,2022-01-27,2025-05-26,4
Bahamas,Bahamas,CONCACAF,19.0,2022-01-27,2025-05-26,4
Bonaire,Bonaire,CONCACAF,18.0,2022-01-27,2025-05-26,4
Maldives,Maldives,AFC,18.0,2022-01-27,2025-05-26,4
Dominica,Dominica,CONCACAF,20.0,2022-01-27,2025-05-26,4
Belize,Belize,CONCACAF,27.0,2022-01-27,2025-05-26,4
Vanuatu,Vanuatu,OFC,23.0,2022-01-27,2025-05-26,4
Philippines,Philippines,AFC,36.0,2022-01-27,2025-05-26,4
Sri Lanka,Sri Lanka,AFC,17.0,2022-01-27,2025-05-26,4
Barbados,Barbados,CONCACAF,27.0,2022-01-27,2025-05-26,4
Aruba,Aruba,CONCACAF,18.0,2022-01-27,2025-05-26,4
Fiji,Fiji,OFC,29.0,2022-01-27,2025-05-26,4
Antigua and Barbuda,Antigua and Barbuda,CONCACAF,21.0,2022-01-27,2025-05-26,4
Saint Lucia,St. Lucia,CONCACAF,24.0,2022-01-27,2025-05-26,4
Anguilla,Anguilla,CONCACAF,17.0,2022-01-27,2025-05-26,4
Sint Maarten,Sint Maarten,CONCACAF,19.0,2022-01-27,2025-05-26,4
Cayman Islands,Cayman Islands,CONCACAF,16.0,2022-01-27,2025-05-26,4
Saint Kitts and Nevis,St. Kitts and Nevis,CONCACAF,29.0,2022-01-27,2025-05-26,4
Laos,Laos,AFC,21.0,2022-01-27,2025-05-26,4
Bhutan,Bhutan,AFC,13.0,2022-01-27,2025-05-26,4
Brunei,Brunei,AFC,23.0,2022-01-27,2025-05-26,4
East Timor,Timor-Leste,AFC,17.0,2022-01-27,2025-05-26,4
United States Virgin Islands,US Virgin Islands,CONCACAF,16.0,2022-01-27,2025-05-26,4
Turks and Caicos Islands,Turks and Caicos Islands,CONCACAF,18.0,2022-01-27,2025-05-26,4
