team,confed,off,def,spi
Indonesia,AFC,0.62,2.83,9.93
Myanmar,AFC,0.57,2.71,9.91
Montserrat,CONCACAF,0.81,3.24,9.65
Papua New Guinea,OFC,0.6,2.88,9.16
Somalia,CAF,0.55,2.8,8.97
Cayman Islands,CONCACAF,0.37,2.69,7.23
Seychelles,CAF,0.41,2.8,7.04
Maldives,AFC,0.41,2.81,7.01
Bahamas,CONCACAF,0.67,3.5,6.66
Bangladesh,AFC,0.26,2.49,6.63
French Guiana,CONCACAF,0.52,3.18,6.57
Nepal,AFC,0.22,2.47,6.19
San Marino,UEFA,0.27,2.8,5.39
Chinese Taipei,AFC,0.45,3.48,4.58
Mongolia,AFC,0.21,2.89,4.27
British Virgin Islands,CONCACAF,0.42,3.62,3.88
Bonaire,CONCACAF,0.37,3.59,3.5
Cambodia,AFC,0.28,3.35,3.44
Turks and Caicos Islands,CONCACAF,0.68,4.76,2.75
Guam,AFC,0.51,4.42,2.48
Guadeloupe,CONCACAF,0.2,3.49,2.47
Anguilla,CONCACAF,0.33,3.97,2.33
Brunei,AFC,0.21,3.71,2.13
US Virgin Islands,CONCACAF,0.36,4.24,2.06
Sri Lanka,AFC,0.2,3.81,1.87
Pakistan,AFC,0.2,3.92,1.71
Laos,AFC,0.21,4.11,1.48
Bhutan,AFC,0.22,4.62,0.98
St. Martin,CONCACAF,0.23,4.89,0.81
Sint Maarten,CONCACAF,0.21,4.93,0.74
Tuvalu,OFC,0.38,5.62,0.7
Timor-Leste,AFC,0.33,5.56,0.64
Macau,AFC,0.2,5.11,0.6
Samoa,OFC,0.2,5.78,0.34
Tonga,OFC,0.2,6.08,0.26
