team,xG,xGA,matches,confed
Nicaragua,0.6293737598470724,1.2609269754804682,50.0,CONCACAF
Niger,1.4413604474505568,0.9700604454816387,49.0,CAF
Nigeria,1.870375155601738,0.9345061075685773,69.0,CAF
North Korea,0.937611016658153,1.7688149239120927,18.0,AFC
North Macedonia,1.4314410574269754,0.7523574642757298,57.0,UEFA
Northern Ireland,1.8592489633520364,0.7972534588475262,51.0,UEFA
Norway,2.2240330017589143,0.7467816284915147,59.0,UEFA
Oman,0.9193259619969142,0.9457148313270467,76.0,AFC
Pakistan,0.09380846898312727,1.2667920835914304,24.0,AFC
Palestine,1.0005519882341665,0.8143256684742364,46.0,AFC
Panama,1.4019021710182284,1.0226890619361406,89.0,CONCACAF
Papua New Guinea,0.04002463837611654,0.3149463022968315,28.0,OFC
Paraguay,1.8139476279608715,0.6770806890065494,64.0,CONMEBOL
Peru,0.8018082598779049,0.8179717703412429,64.0,CONMEBOL
Philippines,0.12094039085854404,2.831006725140528,48.0,AFC
Poland,2.1026631875011184,0.9606360525177866,62.0,UEFA
Portugal,2.1996923658531347,0.923945355875532,72.0,UEFA
Puerto Rico,0.2569690282033007,0.8438893849921709,32.0,CONCACAF
Qatar,0.8875945435427187,1.407340434912982,84.0,AFC
Republic of Ireland,1.804196406153551,0.7627768046031307,54.0,UEFA
Romania,1.7922253521623077,1.1260682664264656,57.0,UEFA
Rwanda,0.43479937592731766,1.132358570377644,40.0,CAF
Saint Kitts and Nevis,0.261563416591253,1.8629474066132152,41.0,CONCACAF
Saint Lucia,0.062465872203607234,2.7883082547889977,29.0,CONCACAF
Saint Martin,0.04459717305316208,2.7069007205558777,20.0,CONCACAF
Saint Vincent and the Grenadines,0.16956089167020452,1.2082474921411341,42.0,CONCACAF
San Marino,0.4401231409687723,1.216966472932701,53.0,UEFA
Saudi Arabia,1.312145235900801,1.035045971446159,89.0,AFC
Scotland,1.8514934692812193,0.898365465043406,62.0,UEFA
Senegal,2.0428490630935716,0.5956417401343526,83.0,CAF
Serbia,1.07491347069502,0.9761581665348362,58.0,UEFA
Seychelles,0.00340635094916552,1.6202097027666191,30.0,CAF
Sierra Leone,1.1404339940796977,1.5321044399693884,42.0,CAF
Singapore,0.2477367995666415,0.5818495626334245,57.0,AFC
Sint Maarten,0.0007010795396345949,2.7961821315135236,23.0,CONCACAF
Slovakia,1.5490499920181777,0.666059744368666,60.0,UEFA
Slovenia,1.167856124078468,0.8232208093740933,58.0,UEFA
Solomon Islands,0.042159298768599085,0.6553737211370403,32.0,OFC
Somalia,0.282575247720658,1.1329011907132798,20.0,CAF
South Africa,1.3650706931359726,0.8904362606255329,76.0,CAF
South Korea,1.8970874013442247,0.41976687546707353,73.0,AFC
