rank,name,confed,off,defe,spi
39,Uruguay,CONMEBOL,3.3950782516234823,2.5925299085621827,62.06321571872444
40,Panama,CONCACAF,3.334401244333072,3.101145291624679,60.95401884208969
41,Slovenia,UEFA,3.3045988358741942,2.740363556904749,60.40922041093823
42,Hungary,UEFA,3.303995930956417,3.2091913883148973,60.398199098556994
43,Cameroon,CAF,3.2741173901173903,2.481145805160567,59.85200894091734
44,Australia,AFC,3.267205282307322,2.449046699341316,59.72565319701594
45,Ivory Coast,CAF,3.263141315962585,2.464901326094377,59.651362473434986
46,Greece,UEFA,3.24099756677761,2.590380414660993,59.24656700757753
47,Burkina Faso,CAF,3.011592873724588,2.87693888256315,55.05296912952296
48,Slovakia,UEFA,2.955590103057208,2.6994359337797267,54.029218930212
49,Nigeria,CAF,2.943497659856702,2.6982550458771093,53.808164846830984
50,Qatar,AFC,2.8721537815634086,3.2771237958125066,52.50397384427905
51,Mali,CAF,2.8498614774966504,1.304152483313976,52.09646274331959
52,Iceland,UEFA,2.820688455927518,3.547423432496669,51.563169724242265
53,Bolivia,CONMEBOL,2.805470298809693,3.9499499836562064,51.28497649921324
54,Romania,UEFA,2.778141060603996,2.5655040055811997,50.785388483715366
55,Tunisia,CAF,2.716941811015516,1.7859860946109387,49.666644835548304
56,South Africa,CAF,2.7121854924081763,1.8201144838179044,49.57969767089514
57,DR Congo,CAF,2.696672807100177,1.5164202137181984,49.296120367724974
58,Gabon,CAF,2.680979496421589,2.727778805703094,49.00924116972109
59,Chile,CONMEBOL,2.670327594841384,3.630208557618408,48.81452069007655
60,Costa Rica,CONCACAF,2.652282664050978,2.865222212621876,48.48465305543841
61,Ghana,CAF,2.645417336400654,3.275136832559605,48.359152469188885
62,Republic of Ireland,UEFA,2.623755988746362,3.307671580724039,47.96317547172683
63,Zambia,CAF,2.6014351756103604,3.266368735969803,47.55514321502859
64,Peru,CONMEBOL,2.5963176532015044,3.4758528047436044,47.46159311878137
65,Kosovo,UEFA,2.57501266997577,2.959050303256116,47.07213058748617
66,Finland,UEFA,2.553640939961869,3.578661786533789,46.681447901600855
67,North Macedonia,UEFA,2.5308934705670505,2.870299835846209,46.265616219538565
68,Bosnia and Herzegovina,UEFA,2.521072225724358,3.9593750255373528,46.08608043505202
