round,label,group,team_a,team_b,score_a,score_b,score,winner,forecast,home_advantage_team,wins_a,draws,wins_b,prob_team_a,prob_draw,prob_team_b,expected_goals_a,expected_goals_b,note
Group stage,Group L,L,England,Ghana,2,0,2-0,England,team_a,,5336,2625,2039,0.5336,0.2625,0.2039,1.4667439642967603,0.8221412221757084,
Group stage,Group L,L,Panama,Croatia,0,2,0-2,Croatia,team_b,,2948,2744,4308,0.2948,0.2744,0.4308,1.036895091127966,1.3443949188413136,
Group stage,Group L,L,Panama,England,0,2,0-2,England,team_b,,1921,2505,5574,0.1921,0.2505,0.5574,0.803647977114988,1.6016093414249641,
Group stage,Group L,L,Croatia,Ghana,2,0,2-0,Croatia,team_a,,3953,2845,3202,0.3953,0.2845,0.3202,1.2095295417131098,1.0553883361886862,
Round of 32,Match 73,,South Korea,Canada,2,0,2-0,South Korea,team_a,,4412,2905,2683,0.4412,0.2905,0.2683,1.2535549810185111,0.9123431562385034,
Round of 32,Match 74,,Germany,Australia,2,1,2-1,Germany,team_a,,3788,2697,3515,0.3788,0.2697,0.3515,1.3201156768128754,1.3013206608009644,
Round of 32,Match 75,,Netherlands,Morocco,2,0,2-0,Netherlands,team_a,,3850,2873,3277,0.385,0.2873,0.3277,1.2096106080142874,1.0830249728707613,
Round of 32,Match 76,,Brazil,Japan,2,0,2-0,Brazil,team_a,,4196,2784,3020,0.4196,0.2784,0.302,1.3002945591779298,1.0485207110738108,
Round of 32,Match 77,,France,Tunisia,3,1,3-1,France,team_a,,5201,2301,2498,0.5201,0.2301,0.2498,1.8006913720626787,1.1929936246999213,
Round of 32,Match 78,,Ecuador,Senegal,0,2,0-2,Senegal,team_b,,2985,2956,4059,0.2985,0.2956,0.4059,0.973672931035931,1.1767708426547925,
Round of 32,Match 79,,Mexico,Scotland,3,1,3-1,Mexico,team_a,Mexico,4838,2398,2764,0.4838,0.2398,0.2764,1.730913102970302,1.2776996262060283,
Round of 32,Match 80,,England,Congo DR,2,1,2-1,England,team_a,,4675,2645,2680,0.4675,0.2645,0.268,1.4742215842885933,1.0432997328957259,
Round of 32,Match 81,,USA,Bosnia and Herzegovina,3,1,3-1,USA,team_a,USA,5058,2062,2880,0.5058,0.2062,0.288,2.0807059867587125,1.530142390944821,
Round of 32,Match 82,,Belgium,Czech Republic,1,1,1-1,Czech Republic,draw,,3533,2740,3727,0.3533,0.274,0.3727,1.1634857712584235,1.2091380846270492,forecast draw resolved by higher non-draw simulated win count
Round of 32,Match 83,,Portugal,Croatia,2,1,2-1,Portugal,team_a,,4114,2562,3324,0.4114,0.2562,0.3324,1.471050998525579,1.320556622012369,
Round of 32,Match 84,,Spain,Algeria,2,1,2-1,Spain,team_a,,5448,2335,2217,0.5448,0.2335,0.2217,1.7490906179553907,1.0376854199252563,
Round of 32,Match 85,,Switzerland,Iran,2,0,2-0,Switzerland,team_a,,5492,2805,1703,0.5492,0.2805,0.1703,1.3611307519572418,0.6246925347446313,
Round of 32,Match 86,,Argentina,Uruguay,2,0,2-0,Argentina,team_a,,4535,2927,2538,0.4535,0.2927,0.2538,1.277205801491341,0.8714161287033582,
Round of 32,Match 87,,Colombia,Norway,1,1,1-1,Colombia,draw,,3723,2632,3645,0.3723,0.2632,0.3645,1.3733500064795487,1.3332581297168518,forecast draw resolved by higher non-draw simulated win count
Round of 32,Match 88,,Paraguay,New Zealand,2,1,2-1,Paraguay,team_a,,4119,2634,3247,0.4119,0.2634,0.3247,1.3844415485481927,1.2028225555597176,
Round of 16,Match 89,,Germany,France,1,2,1-2,France,team_b,,2890,2433,4677,0.289,0.2433,0.4677,1.2577740788539056,1.650952674652151,
Round of 16,Match 90,,South Korea,Netherlands,2,1,2-1,South Korea,team_a,,3908,2618,3474,0.3908,0.2618,0.3474,1.3278902714721559,1.221478573153709,
Round of 16,Match 91,,Brazil,Senegal,1,1,1-1,Senegal,draw,,3569,2702,3729,0.3569,0.2702,0.3729,1.2600865728170205,1.27039766750663,forecast draw resolved by higher non-draw simulated win count
Round of 16,Match 92,,Mexico,England,1,2,1-2,England,team_b,Mexico,3367,2635,3998,0.3367,0.2635,0.3998,1.2695353171288464,1.3824192430257773,
Round of 16,Match 93,,Portugal,Spain,1,3,1-3,Spain,team_b,,2884,2279,4837,0.2884,0.2279,0.4837,1.3750026196151832,1.856097757570239,
Round of 16,Match 94,,USA,Czech Republic,3,1,3-1,USA,team_a,USA,4658,2369,2973,0.4658,0.2369,0.2973,1.7162840497965157,1.315113739407709,
Round of 16,Match 95,,Argentina,Paraguay,2,1,2-1,Argentina,team_a,,4318,2609,3073,0.4318,0.2609,0.3073,1.373441770172215,1.112544090831288,
Round of 16,Match 96,,Switzerland,Colombia,2,1,2-1,Switzerland,team_a,,4063,2604,3333,0.4063,0.2604,0.3333,1.4173777480386351,1.2638412528568357,
Quarter-finals,Match 97,,France,South Korea,2,1,2-1,France,team_a,,4084,2491,3425,0.4084,0.2491,0.3425,1.4853111012059772,1.3472769926120827,
Quarter-finals,Match 98,,Spain,USA,3,1,3-1,Spain,team_a,USA,4460,2211,3329,0.446,0.2211,0.3329,1.8995885965583157,1.6444952039811476,
Quarter-finals,Match 99,,Senegal,England,1,2,1-2,England,team_b,,3049,2618,4333,0.3049,0.2618,0.4333,1.1294896759746067,1.3781824904195674,
Quarter-finals,Match 100,,Argentina,Switzerland,1,2,1-2,Switzerland,team_b,,3416,2539,4045,0.3416,0.2539,0.4045,1.2627944396639177,1.3869556417535491,
Semi-finals,Match 101,,France,Spain,1,3,1-3,Spain,team_b,,3573,2311,4116,0.3573,0.2311,0.4116,1.5435409568250567,1.6938127985347644,
Semi-finals,Match 102,,England,Switzerland,1,1,1-1,England,draw,,3764,2664,3572,0.3764,0.2664,0.3572,1.3273072960359682,1.2820876924602786,forecast draw resolved by higher non-draw simulated win count
Third place,Third place,,France,Switzerland,1,1,1-1,France,draw,,3846,2448,3706,0.3846,0.2448,0.3706,1.5460006293819353,1.5099248896443163,forecast draw resolved by higher non-draw simulated win count
Final,Final,,Spain,England,2,1,2-1,Spain,team_a,,4028,2451,3521,0.4028,0.2451,0.3521,1.4659756013507268,1.3248476234790896,
