prior_rank,name,prior_off,prior_def,prior_spi,new_rank,new_off,new_def,new_spi,rank_change,off_change,def_change,spi_change,status
37,Uzbekistan,1.3371074253104314,0.4487361952682881,58.235113821138206,67,1.4946365627869957,1.070271390337125,53.20786178861788,-30,0.15752913747656438,0.6215351950688369,-5.027252032520323,rated
68,Uganda,1.489900365293194,1.080030233830907,52.08070731707317,68,1.489900365293194,1.080030233830907,53.04921951219512,0,0.0,0.0,0.9685121951219529,rated
19,Poland,2.148152363516137,0.9393682970265128,61.11332520325203,69,1.7790672152026323,1.3855502669943296,52.74330894308943,-50,-0.3690851483135045,0.4461819699678168,-8.3700162601626,rated
79,Suriname,1.2124452554645433,0.9623706718713504,50.133886178861786,70,2.0115406149882427,1.632989401119643,52.5050406504065,9,0.7990953595236994,0.6706187292482927,2.3711544715447133,rated
147,Thailand,0.4337652549455191,1.0309914498949264,38.74547967479675,71,0.8898781679104897,0.5437313904887762,52.24133333333333,76,0.4561129129649706,-0.48726005940615025,13.495853658536582,rated
57,Cape Verde Islands,1.303468207646978,0.6718009849066008,54.89189430894309,72,1.2773842352559057,1.0065116577652522,51.354821138211385,-15,-0.026083972391072185,0.3347106728586514,-3.537073170731702,rated
86,Syria,0.9953728872074836,0.7777278378094638,49.57837398373984,73,1.696980333711233,1.4306223841134222,51.31028455284553,13,0.7016074465037494,0.6528945463039585,1.7319105691056933,rated
89,Haiti,1.1193930645859305,0.9408859425400842,49.18371544715448,74,1.2230272645079217,0.9600263966936367,51.24159349593496,15,0.10363419992199119,0.019140454153552477,2.0578780487804735,rated
127,Kenya,0.7067641131838416,1.0680664297465734,42.21273170731708,75,1.11947832761886,0.8995629058309101,50.701983739837395,52,0.41271421443501843,-0.16850352391566326,8.489252032520312,rated
63,South Africa,1.4146810868442845,0.9014982912046804,53.35234959349594,76,1.0770766312141737,0.8626123814698583,50.589260162601626,-13,-0.33760445563011077,-0.03888590973482209,-2.7630894308943112,rated
69,Panama,1.419684929168095,1.0155319311587945,52.00060975609756,77,1.3826390740204964,1.1841975133363316,50.45017073170731,-8,-0.03704585514759873,0.16866558217753713,-1.5504390243902506,rated
114,Ethiopia,0.99419432385172,1.2126132115340444,44.32817073170732,78,0.6940394068113082,0.4853394922866977,50.31549593495935,36,-0.30015491704041186,-0.7272737192473467,5.987325203252034,rated
90,United Arab Emirates,1.5418798598956065,1.3783602004602742,49.18302439024391,79,1.5418798598956065,1.3783602004602742,50.11055284552845,11,0.0,0.0,0.9275284552845449,rated
80,Curacao,0.9206833648590912,0.6699716645593586,49.99830081300813,80,1.190030185154954,1.0261877966079536,50.044463414634144,0,0.26934682029586277,0.3562161320485949,0.04616260162601549,rated
100,Iraq,1.130031116906699,1.0629873791298723,47.82718699186992,81,1.1948408942866011,1.0478962992955436,49.8250894308943,19,0.06480977737990212,-0.015091079834328669,1.9979024390243794,rated
179,Pakistan,0.0794206253795571,1.457948985200451,29.1939756097561,82,0.2022602589758807,0.008007626254045264,49.55394308943089,97,0.1228396335963236,-1.4499413589464059,20.359967479674786,rated
29,Scotland,1.978247518051636,0.9044331124263532,59.72652032520326,83,1.0246323283673915,0.9129641837959152,49.330105691056914,-54,-0.9536151896842444,0.008531071369561993,-10.396414634146346,rated
95,Serbia,1.0750213133705289,0.9722279320696388,48.2350650406504,84,1.2341426922930672,1.1399913728479283,49.22643902439024,11,0.1591213789225383,0.16776344077828953,0.991373983739841,rated
119,Costa Rica,1.054495647490096,1.3730909543362262,43.27939837398374,85,1.2906509321780713,1.2137249805958066,49.036829268292685,34,0.2361552846879753,-0.1593659737404196,5.757430894308946,rated
75,Saudi Arabia,1.3595483261966437,1.0575002626564582,50.78357723577236,86,0.9826818501232373,0.8978146546692295,48.93826016260163,-11,-0.3768664760734064,-0.15968560798722875,-1.8453170731707331,rated
138,Qatar,0.8942883958943375,1.453381464485325,40.33032520325203,87,0.935561454033886,0.864930699060453,48.75486991869919,51,0.04127305813954851,-0.588450765424872,8.424544715447162,rated
112,Indonesia,0.7796900249375792,0.9369390951442392,44.78430894308943,88,0.6760305566505246,0.6053047116307183,48.49985365853659,24,-0.10365946828705463,-0.3316343835135209,3.715544715447159,rated
71,Slovenia,1.1700257559132148,0.7949710595451135,51.65182113821138,89,1.3131448678883395,1.2980120458777917,48.30703252032521,-18,0.14311911197512472,0.5030409863326782,-3.3447886178861737,rated
58,Libya,0.955662546963308,0.3484069563104348,54.77138211382114,90,0.9183796038933877,0.8971734100343192,48.08218699186992,-32,-0.037282943069920305,0.5487664537238843,-6.689195121951222,rated
72,Gabon,1.4685649549198418,1.0976297925786829,51.65085365853659,91,1.7910220171172326,1.8340503203219294,47.88443902439024,-19,0.3224570621973908,0.7364205277432465,-3.7664146341463507,rated
