team,name,confed,prior_matches,stage2_matches,stage1_matches,new_matches,total_matches,prior_weight,new_weight,prior_off,prior_xG_scaled,new_xG,pooled_xG_pre_normalization,xG,prior_def,prior_xGA_scaled,new_xGA,pooled_xGA_pre_normalization,xGA
Georgia,Georgia,UEFA,51.0,8.0,43.0,4.0,55.0,0.9272727272727272,0.07272727272727272,1.5969971864296593,1.5969971864296593,1.7045663752483158,1.6048204001619253,1.588444464287742,0.9777691578725008,0.9777691578725008,0.7568293716224223,0.961700809781586,0.9542327456082431
Germany,Germany,UEFA,61.0,8.0,53.0,8.0,69.0,0.8840579710144928,0.11594202898550725,1.8722627382778547,1.8722627382778547,2.459691313887392,1.9403703992180912,1.9205704382838005,0.6768319309212337,0.6768319309212337,1.1473735285561109,0.7313874784731035,0.7257079068545071
Ghana,Ghana,CAF,56.0,8.0,48.0,8.0,64.0,0.875,0.125,1.4566714192895358,1.4566714192895358,1.4862103220036624,1.4603637821288016,1.4454619129559596,0.7458011769023867,0.7458011769023867,0.8937939507304348,0.7643002736308927,0.7583651185045542
Gibraltar,Gibraltar,UEFA,49.0,8.0,41.0,2.0,51.0,0.9607843137254902,0.0392156862745098,0.4938598283967881,0.4938598283967881,0.1850028133685362,0.4817477885917586,0.4768319295381771,1.225105142027806,1.225105142027806,0.4151350213170148,1.1933416078822847,1.18407474274321
Greece,Greece,UEFA,49.0,8.0,41.0,4.0,53.0,0.9245283018867925,0.07547169811320754,1.9265050194447657,1.9265050194447657,0.6671473034904976,1.8314591540897267,1.8127705471524438,0.9648007316777044,0.9648007316777044,0.8400226426804501,0.9553835174137607,0.9479645100201615
Grenada,Grenada,CONCACAF,39.0,6.0,33.0,3.0,42.0,0.9285714285714286,0.07142857142857142,0.313197459330358,0.313197459330358,0.0026807368379181,0.29101769343804085,0.2880480856953219,0.9060550612273488,0.9060550612273488,2.0422398161422564,0.9872111151498422,0.9795449513226007
Guadeloupe,Guadeloupe,CONCACAF,34.0,3.0,31.0,0.0,34.0,1.0,0.0,2.190171397255813,2.190171397255813,2.190171397255813,2.190171397255813,2.1678224126894947,1.5394792276215925,1.5394792276215925,1.5394792276215925,1.5394792276215925,1.5275244392420158
Guatemala,Guatemala,CONCACAF,69.0,14.0,55.0,3.0,72.0,0.9583333333333334,0.041666666666666664,1.4704176086733167,1.4704176086733167,0.7555011077746698,1.440629421135873,1.4259289256682166,1.3650278551870272,1.3650278551870272,1.2409549196325744,1.359858149538925,1.3492982042585353
Guinea,Guinea,CAF,54.0,6.0,48.0,3.0,57.0,0.9473684210526315,0.05263157894736842,1.2220713575848512,1.2220713575848512,0.6362694854151,1.1912396801022327,1.1790840117108237,0.8571566459285833,0.8571566459285833,1.5345450598093335,0.8928086677117806,0.8858755837867471
Guinea-Bissau,Guinea-Bissau,CAF,42.0,6.0,36.0,2.0,44.0,0.9545454545454546,0.045454545454545456,0.5741132044407874,0.5741132044407874,0.6859179024610743,0.5791952361689823,0.5732850021981413,1.3734069698701183,1.3734069698701183,0.9557999303982856,1.3544248317123078,1.3439070787289304
Guyana,Guyana,CONCACAF,38.0,4.0,34.0,2.0,40.0,0.95,0.05,0.2383330341681031,0.2383330341681031,0.2977738385587316,0.24130507438763452,0.23884274500555025,0.4873547240202178,0.4873547240202178,1.9956473146518332,0.5627693535517986,0.5583991818680812
Haiti,Haiti,CONCACAF,46.0,11.0,35.0,7.0,53.0,0.8679245283018868,0.1320754716981132,1.1193930645859305,1.1193930645859305,1.2230272645079214,1.133080600424684,1.1215183999124252,0.9408859425400842,0.9408859425400842,0.9600263966936368,0.9434139270509307,0.936087869219242
Honduras,Honduras,CONCACAF,70.0,13.0,57.0,2.0,72.0,0.9722222222222222,0.027777777777777776,0.6753191733756025,0.6753191733756025,1.115754396636637,0.6875534851328535,0.6805375400579586,0.7941636583341711,0.7941636583341711,1.3755803163701887,0.8103141210573939,0.8040216465215796
Hong Kong,Hong Kong,AFC,51.0,8.0,43.0,1.0,52.0,0.9807692307692307,0.019230769230769232,0.3568915348647197,0.3568915348647197,0.0019535787374116,0.35006580493919454,0.3464936574435307,1.5470463312424845,1.5470463312424845,0.7653283779868304,1.5320132936798758,1.5201164818281585
Hungary,Hungary,UEFA,55.0,8.0,47.0,4.0,59.0,0.9322033898305084,0.06779661016949153,2.163053142968089,2.163053142968089,1.3037778549525485,2.1047971912382217,2.083319383610402,1.0038130513741326,1.0038130513741326,0.7489524112404417,0.9865343639074416,0.9788734553754607
Iceland,Iceland,UEFA,58.0,8.0,50.0,5.0,63.0,0.9206349206349206,0.07936507936507936,1.980747300611676,1.980747300611676,0.830168453180619,1.8894315190695288,1.8701513495304194,0.8876170080872803,0.8876170080872803,1.2070575783641602,0.9129694342997311,0.9058797924336716
India,India,AFC,47.0,5.0,42.0,4.0,51.0,0.9215686274509803,0.0784313725490196,0.0593063761572888,0.0593063761572888,0.0016275431760432,0.05478254611954404,0.054223533122084874,2.243765453350884,2.243765453350884,1.1349232557075912,2.1567974378494497,2.1400488799706023
Indonesia,Indonesia,AFC,69.0,6.0,63.0,4.0,73.0,0.9452054794520548,0.0547945205479452,0.7796900249375792,0.7796900249375792,0.6760305566505246,0.7740100540725351,0.7661118873928331,0.9369390951442392,0.9369390951442392,0.6053047116307183,0.9187673481024025,0.9116326826781744
Iran,Iran,AFC,56.0,5.0,51.0,7.0,63.0,0.8888888888888888,0.1111111111111111,0.7824572291084599,0.7824572291084599,1.7242535170424598,0.8871012611011266,0.8780490871854452,0.3456971440558072,0.3456971440558072,0.8360085655313171,0.4001761908864194,0.3970686324401887
Iraq,Iraq,AFC,68.0,12.0,56.0,7.0,75.0,0.9066666666666666,0.09333333333333334,1.130031116906699,1.130031116906699,1.1948408942866011,1.1360800294621567,1.1244872221246283,1.0629873791298723,1.0629873791298723,1.0478962992955436,1.061578878345335,1.0533352134675351
Israel,Israel,UEFA,47.0,8.0,39.0,2.0,49.0,0.9591836734693877,0.04081632653061224,1.395312905528452,1.395312905528452,2.07406119989299,1.4230169175433312,1.4084961438871535,0.9122076090947746,0.9122076090947746,0.7077328498060591,0.9038617005523781,0.8968427845705095
Italy,Italy,UEFA,61.0,8.0,53.0,4.0,65.0,0.9384615384615385,0.06153846153846154,2.015967637999019,2.015967637999019,1.6972736389930616,1.996355699598652,1.9759844525012265,0.7331165946327796,0.7331165946327796,0.3800489368497487,0.7113893541538238,0.7058650774816847
Ivory Coast,Ivory Coast,CAF,61.0,13.0,48.0,7.0,68.0,0.8970588235294118,0.10294117647058823,1.3505188919090767,1.3505188919090767,2.710681373196608,1.4905356179239695,1.4753258687864048,0.6085546088053622,0.6085546088053622,0.4778168870193131,0.5950963139156218,0.5904751080099607
