rank,name,confed,off,def,spi
112,Zimbabwe,CAF,0.978811179605822,1.1186005833763952,44.834983739837405
113,Suriname,CONCACAF,0.9146055896384916,1.0570650878838397,44.728292682926835
114,Rwanda,CAF,0.8284740748924367,0.9605955344391904,44.71760975609756
115,Libya,CAF,0.9107159600338052,1.0613993396102137,44.64447967479674
116,Botswana,CAF,0.8890120602150959,1.056991965175746,44.38053658536585
117,Syria,AFC,0.8462561720825477,1.0235191432464343,44.21516260162602
118,Latvia,UEFA,0.9208279597380952,1.1166983428939297,44.1220081300813
119,Madagascar,CAF,1.0155830400887669,1.2260714835646518,44.10111382113821
120,Indonesia,AFC,0.6067874169292282,0.7660818860593487,44.063349593495936
121,Congo,CAF,1.076650002267534,1.313492401809737,43.8550325203252
122,Lithuania,UEFA,0.8545477043059179,1.0694566274066502,43.78122764227643
123,Bahrain,AFC,0.8688033380975819,1.0870815400248086,43.76940650406504
124,Sudan,CAF,0.7336212055924844,0.9477312370588616,43.56046341463415
125,Tanzania,CAF,0.8535320145910323,1.089911918606653,43.517178861788615
126,Ethiopia,CAF,0.8629087996563017,1.1053979169262804,43.460650406504065
127,Guinea-Bissau,CAF,0.8588985795903094,1.1026888325100572,43.41263414634147
128,North Korea,AFC,0.977501680211894,1.2437980779416964,43.37240650406504
129,Liberia,CAF,0.926791256819042,1.1976402737483736,43.25386178861788
130,El Salvador,CONCACAF,0.7429315734608991,0.9994637699868008,43.09430081300813
131,China PR,AFC,0.8210671155927627,1.1149983658372455,42.7809674796748
132,Central African Republic,CAF,0.909877650656286,1.2235251337916897,42.75475609756098
133,Malawi,CAF,0.7921864891048651,1.101396299022686,42.58717886178862
134,Trinidad and Tobago,CONCACAF,0.8729457409026296,1.2146407309443408,42.33928455284553
135,Swaziland,CAF,0.7492782760267597,1.091836890715638,42.08853658536585
136,Andorra,UEFA,0.451003670172633,0.752711850314094,41.94132520325203
137,Curacao,CONCACAF,0.7118102261285637,1.1195068039503784,41.28556910569105
138,Lesotho,CAF,0.688575279797305,1.0905610856119743,41.27152845528455
139,Martinique,CONCACAF,0.8243491066328584,1.2625310734885828,41.12470731707317
140,Kyrgyzstan,AFC,0.8043579479045734,1.260935356141955,40.895536585365846
141,South Sudan,CAF,0.6623756911328471,1.1097156809425288,40.686065040650405
142,San Marino,UEFA,0.3631917808609711,0.7611979640812369,40.5330650406504
143,Nicaragua,CONCACAF,0.6875802057578279,1.1527217188957763,40.53218699186992
144,Dominican Republic,CONCACAF,0.7796264225618477,1.3060122905976064,40.03969105691057
145,Tajikistan,AFC,0.4843150755288039,0.9626827216462036,39.907463414634144
146,Kuwait,AFC,0.7629949497676265,1.3081768878945566,39.79694308943089
147,Chad,CAF,0.6120945593697245,1.1413776745378397,39.635869918699186
148,Somalia,CAF,0.4587583840209176,0.9776376823020664,39.32530894308943
149,Gibraltar,UEFA,0.4003200567628292,0.9817511570554543,38.44160162601626
150,Burundi,CAF,0.5782085429195649,1.2421451918957476,38.02208130081301
151,Djibouti,CAF,0.5652061327899116,1.238601504324276,37.89434959349593
152,Cuba,CONCACAF,0.5724934036643049,1.294524681323831,37.38908943089431
153,Lebanon,AFC,0.3709569127063111,1.047325295455504,37.29141463414634
154,Vietnam,AFC,0.5278799633350089,1.2951007401571997,36.753975609756104
155,Thailand,AFC,0.5484866677548333,1.3461977552681457,36.51017886178862
156,Sao Tome and Principe,CAF,0.6035708957829479,1.4330671301914633,36.317065040650405
157,Mauritius,CAF,0.4198962560581075,1.2381658695025153,35.84866666666667
158,Pakistan,AFC,0.0810999758513419,0.8274687060596544,35.36508943089431
159,Liechtenstein,UEFA,0.1928537851106813,0.9901735144140208,35.26409756097561
160,Hong Kong,AFC,0.2784534664303382,1.135632924034434,34.97263414634146
161,India,AFC,0.2642022331030794,1.1205740913288986,34.93322764227642
162,Chinese Taipei,AFC,0.2691841666864812,1.1283065137478785,34.868430894308936
163,Turkmenistan,AFC,0.4457797821151984,1.4031566410782037,34.49962601626016
164,Grenada,CONCACAF,0.3951698344533689,1.3347192501362315,34.48761788617886
165,Malaysia,AFC,0.3812353623041819,1.3331040286017848,34.3059593495935
166,Montserrat,CONCACAF,0.5039927515335187,1.51032333258455,34.15452845528455
167,Guyana,CONCACAF,0.5421072977941515,1.6116966349170625,33.68391056910569
168,Bermuda,CONCACAF,0.6703070375488719,1.8135721850065976,33.372902439024394
169,Seychelles,CAF,0.203298534133278,1.191018483062146,33.23837398373984
170,Afghanistan,AFC,0.2032430716700607,1.2099666677925538,33.05387804878049
171,Papua New Guinea,OFC,0.3434921649758614,1.4170469055633603,32.922081300813005
172,Bangladesh,AFC,0.1274807979443712,1.127082319185032,32.787495934959345
173,Cambodia,AFC,0.1438564708966584,1.198102368093676,32.32339837398374
174,St. Vincent and the Grenadines,CONCACAF,0.4737694966315632,1.7067392832849086,31.815699186991868
175,New Caledonia,OFC,0.406827678435991,1.616222703877228,31.804593495934956
176,Yemen,AFC,0.2264013228814026,1.3929497635835189,31.48981300813008
177,Nepal,AFC,0.1048224208653229,1.2371224444113045,31.319341463414634
