source_name,window_appearances,backend_name,ui_name,backend_in_prior,source_to_backend_renamed,backend_to_ui_renamed
Vanuatu,1,Vanuatu,Vanuatu,True,False,False
Venezuela,4,Venezuela,Venezuela,True,False,False
Vietnam,1,Vietnam,Vietnam,True,False,False
Wales,4,Wales,Wales,True,False,False
Zambia,1,Zambia,Zambia,True,False,False
Zimbabwe,3,Zimbabwe,Zimbabwe,True,False,False
American Samoa,2,American Samoa,American Samoa,False,False,False
Canton Ticino,3,Canton Ticino,Canton Ticino,False,False,False
Greenland,3,Greenland,Greenland,False,False,False
Guam,4,Guam,Guam,False,False,False
Macau,2,Macau,Macau,False,False,False
Mongolia,2,Mongolia,Mongolia,False,False,False
Northern Cyprus,3,Northern Cyprus,Northern Cyprus,False,False,False
Padania,3,Padania,Padania,False,False,False
Raetia,3,Raetia,Raetia,False,False,False
Rouet-Provence,3,Rouet-Provence,Rouet-Provence,False,False,False
Russia,5,Russia,Russia,False,False,False
