team,xG,xGA,matches,confed
Jamaica,2.8667244460068035,2.4674743769232528,57.0,CONCACAF
Japan,4.70543647103918,1.6759149773527042,51.0,AFC
Jordan,3.466734245326746,2.29193540882829,56.0,AFC
Kazakhstan,2.900338622451572,2.4586760486746133,39.0,UEFA
Kenya,2.44513601751496,2.7524484205367306,31.0,CAF
Kosovo,3.64128563825855,2.228413503279664,37.0,UEFA
Kuwait,1.9074873744190666,3.270442219736391,47.0,AFC
Kyrgyzstan,2.010894869761434,3.1523383903548874,33.0,AFC
Laos,0.16191038253261456,6.4548231158969305,23.0,AFC
Latvia,2.302069899345238,2.791745857234824,36.0,UEFA
Lebanon,0.9273922817657778,2.61831323863876,35.0,AFC
Lesotho,1.7214381994932628,2.726402714029936,33.0,CAF
Liberia,2.316978142047605,2.9941006843709337,30.0,CAF
Libya,2.276789900084513,2.653498349025534,32.0,CAF
Liechtenstein,0.48213446277670335,2.475433786035052,37.0,UEFA
Lithuania,2.136369260764795,2.6736415685166253,38.0,UEFA
Luxembourg,2.2893603331305985,2.1909906706221256,36.0,UEFA
Madagascar,2.538957600221918,3.0651787089116294,32.0,CAF
Malawi,1.980466222762163,2.753490747556715,32.0,CAF
Malaysia,0.953088405760455,3.3327600715044614,44.0,AFC
Maldives,0.09667920459536752,3.650581183247397,23.0,AFC
Mali,3.188679264005601,1.7828533320730582,39.0,CAF
Malta,2.332616582375226,2.138820087268659,35.0,UEFA
Martinique,2.0608727665821465,3.1563276837214573,21.0,CONCACAF
Mauritania,2.221965818554695,2.229701313987035,39.0,CAF
Mauritius,1.049740640145269,3.095414673756288,24.0,CAF
Mexico,4.595945677088523,1.3071242650743964,70.0,CONCACAF
Moldova,2.520695520772786,2.764647249650431,37.0,UEFA
Montenegro,3.289196792633838,2.381619761797178,38.0,UEFA
Montserrat,1.259981878833797,3.775808331461375,18.0,CONCACAF
Morocco,4.460285694438432,1.227524630812284,67.0,CAF
Mozambique,2.534898422446073,2.7515338666583373,40.0,CAF
Myanmar,0.5279112072499978,4.298506311384628,35.0,AFC
Namibia,2.5466951962813593,2.501340575032998,32.0,CAF
Nepal,0.2620560521633073,3.092806111028261,30.0,AFC
Netherlands,6.031940038169369,1.779585806993588,51.0,UEFA
New Caledonia,1.0170691960899776,4.04055675969307,17.0,OFC
New Zealand,2.912993960170225,2.115046900180168,38.0,OFC
Nicaragua,1.7189505143945703,2.881804297239441,38.0,CONCACAF
Niger,2.454544335545323,2.7746302748954914,34.0,CAF
Nigeria,4.155151095250017,2.2419825155255113,50.0,CAF
North Korea,2.4437542005297352,3.109495194854241,18.0,AFC
North Macedonia,3.120373324792956,1.9727212084539265,39.0,UEFA
Northern Ireland,3.2886170738534655,2.0089497221772317,36.0,UEFA
Norway,5.082404822746621,2.021387402623847,44.0,UEFA
Oman,2.5532952243709777,2.4494870201766825,55.0,AFC
Pakistan,0.20274993962835483,2.068671765149136,24.0,AFC
Palestine,2.046971690510718,2.0248807181071755,35.0,AFC
